DOI,Authors,Publication Year,Article Title,Abstract,Source Title,Publisher,Author Keywords,Keywords Plus,Addresses,Entities,Entities_TGEN,family,family2,bioactives,bioactives_grouped,Bacteria,gram,FUNG,Entities_Grouped,family_Grouped,Genus,Country
,"Kebaili, Z; Hameurlaine, S; Fellah, O; Djermane, M; Gherraf, N; Zellagui, A; Abidi, A; Derouiche, K",2019,Assessment of Alkaloid Content and Antibacterial Activity of Hyoscyamus Albus and Hyoscyamus Muticus Collected in Two Different Climatic Regions in Algeria,"Medicinal plants are considered as a very important source of secondary metabolites and therefore bioactive molecules. Our comparative study deals with two species: Hyoscyamus albus and Hyoscyamus muticus harvested in two different climate regions namely: Arris (semi-arid, wilaya of Batna) and Djanet (arid, wilaya of Illizi), respectively. The phytochemical screening revealed that aerial parts of the two species contain almost all classes of secondary metabolites such as flavonoids, quinones, anthraquinones, saponins, tannins, coumarins and alkaloids. The quantitative assessment of alkaloids in hydroalcoholic extracts of the two plants showed that the total alkaloid content varies depending upon the species and climate conditions. The alkaloid level was found to be 0.51% and 0.32% in Hyoscyamus albus and Hyoscyamus muticus respectively. Moreover, the antibacterial test vis-a-vis some pathogen bacteria such as: Escherichia coli, Staphylococcus aureus, Staphylococcus aureus and Pseudomonas aeruginosa showed that both alkaloid crude extracts and hydroalcoholic extracts are moderately active against the tested bacterial strains.",JOURNAL OF BIOCHEMICAL TECHNOLOGY,SEVAS EDUCATIONAL SOC,Hyoscyamus albus; Hyoscyamus muticus; Alkaloid content; climatic factors; Antibacterial activity,,"[Kebaili, Zoubir; Hameurlaine, Samir; Gherraf, Noureddine] Univ Oum El Bouaghi, Lab Nat Resources & Management Sensit Environm, Oum El Bouaghi, Algeria; [Fellah, Ouroud] Univ Badji Mokhtar Annaba, Fac Sci, Dept Nat & Life Sci, Annaba 23000, Algeria; [Djermane, Mohamed; Abidi, Abdenabi] Annaba Univ, Lab Organ Synth Modelling & Optimizat Chem Proc, Dept Proc Engn, Annaba, Algeria; [Zellagui, Amar; Derouiche, Kamel] Univ Oum El Bouaghi, Lab Biomol & Plant Breeding, Life Sci & Nat Dept, Fac Exact Sci & Life Sci & Nat, Oum El Bouaghi, Algeria","Hyoscyamus Albus, Hyoscyamus Muticus",,"Solanaceae, Solanaceae",,"tannins, alkaloids, alkaloids, anthraquinones, flavonoids, anthraquinones, saponins, coumarins","tannins, alkaloids, alkaloids, anthraquinones, flavonoids, anthraquinones, saponins, coumarins","Staphylococcus aureus, Escherichia coli, Pseudomonas aeruginosa","positive, negative, negative",,"Hyoscyamus Albus, Hyoscyamus Muticus","Solanaceae, Solanaceae","Hyoscyamus, Hyoscyamus",Algeria
10.1002/fsn3.2031,"Rajaei, A; Salarbashi, D; Asrari, N; Bazzaz, BSF; Aboutorabzade, SM; Shaddel, R",2021,"Antioxidant, antimicrobial, and cytotoxic activities of extracts from the seed and pulp of Jujube (Ziziphus jujuba) grown in Iran","The aim of the present study was to investigate the biological activities of the ultrasound-assisted extracts obtained from pulp and seed of jujube (Ziziphus jujuba) fruits. To reach this purpose, total phenolic content (TPC), total flavonoid content (TFC), total pro-anthocyanin, DPPH radical scavenging activity, rancimat test, as well as antimicrobial activity and cytotoxicity test of both jujube pulp and seed extracts were evaluated. Total phenolic content (TPC), total flavonoid content (TFC), and total pro-anthocyanin in pulp extract were higher than those obtained from seed extract. In addition, DPPH radical scavenging activity of pulp extract (IC50 = 53.97 mu g/ml) was higher than that of seed extract (IC50 = 88.68 mu g/ml). Furthermore, the highest antimicrobial activity was observed against Escherichia coli and Staphylococcus aureus (MIC = 20 mg/ml) for both seed and pulp extracts. In vitro cytotoxicity evaluation on seven cell lines revealed that pulp and seed extracts of jujube had no cytotoxic activity. The present results suggested the promising antioxidant properties of jujube, which can be used in the fabrication of functional bioactive ingredients for different purposes.",FOOD SCIENCE & NUTRITION,WILEY,antimicrobials; antioxidant activity; cytotoxicity; jujube,ESSENTIAL OIL; IN-VITRO; ANTIBACTERIAL ACTIVITY; BIOLOGICAL-ACTIVITIES; CHEMICAL-COMPOSITION; PHENOLIC-COMPOUNDS; BREAST-CANCER; FRUIT; L.; ACID,"[Rajaei, Ahmad] Shahrood Univ Technol, Fac Agr, Dept Food Sci & Technol, Shahrood, Iran; [Salarbashi, Davoud] Gonabad Univ Med Sci, Sch Med, Dept Food Sci & Nutr, Gonabad, Iran; [Asrari, Najmeh] Mashhad Univ Med Sci, Sch Pharm, Mashhad, Razavi Khorasan, Iran; [Bazzaz, Bibi Sedigheh Fazly] Mashhad Univ Med Sci, Biotechnol Res Ctr, Pharmaceut Technol Inst, Mashhad, Razavi Khorasan, Iran; [Bazzaz, Bibi Sedigheh Fazly] Mashhad Univ Med Sci, Sch Pharm, Pharmaceut Control Dept, Mashhad, Razavi Khorasan, Iran; [Aboutorabzade, Seyyed Mohammad] Mashhad Univ Med Sci, Sch Pharm, Dept Med Chem, Mashhad, Razavi Khorasan, Iran; [Shaddel, Rezvan] Univ Mohaghegh Ardabili, Fac Agr & Nat Resources, Dept Food Sci & Technol, Ardebil, Iran",Ziziphus jujuba,,Rhamnaceae,,"phenolics, flavonoids, flavonoids","phenolics, flavonoids, flavonoids","Staphylococcus aureus, Escherichia coli","positive, negative",,Ziziphus jujuba,Rhamnaceae,Ziziphus,Iran
10.1016/j.sajb.2023.03.035,"Okasha, YM; Fathy, FI; Soliman, FM; Fayek, NM",2023,"The untargeted phytochemical profile of Verbascum thapsus L. with potent antiviral, antibacterial and anticancer activities","Introduction: Although antiviral medications are commonly used to treat virus patients, their use in individuals is restricted due to critical aspects such as toxicity, virus resistance to antiviral agents, and host phenotypic responses against antiviral therapies. As a result, efforts are now being made to discover bioactive compounds in natural antiviral plants. For a long time, Verbascum thapsus L. has been used to relieve various lung illnesses and is traditionally used to treat certain respiratory diseases. Methods: In this study, we examined the antiviral activities (against the HCov-229E, HBV, and HSV II) by realtime RT-PCR, antibacterial activities (against Streptococcus pneumonia ATCC 1659, Pseudomonas aeruginosa ATCC 27853, and Haemophilus influenza ATCC 10211) by disk diffusion method, and anticancer activities (against prostate and colorectal cancer cell lines) by SRB assay of the methanol extract of V. thapsus L. leaves and flowers. The ultra-high-performance liquid chromatography-mass spectrometry is performed to annotate the secondary metabolites in leaves and flowers. Results: The latter analysis reported the annotation of 31 secondary metabolites classified into different classes. Among these metabolites, 12 tentatively identified metabolites were reported for the first time in V. thapsus L., but some had previously been found in other Verbascum species. Some flavonoids, phenyl-ethanoid glycoside, and iridoids enhanced the flowers extract as a potent antiviral activity against the HCov-229E, HBV, and HSV II, reaching about 8-folds, 2-folds, and 4-folds reductions, respectively than that of the leaves extract, upon compared to the positive control. On the other hand, the leaves extract had a 5-fold higher antiviral impact against HCV than the flowers extract. Due to its richness in particular phenyl-ethanoid glycosides, phenolic acids, and terpenoid, the methanol extract of leaves had slightly stronger antibacterial activity (50-62%) than that of the flowers (42-54%). Both leaves and flower extracts demonstrated weak cytotoxic activity (<= 10%). Conclusion: This plant has emerged as a strong future alternative for testing against numerous enveloped viruses as a natural, affordable, accessible, and compelling medication or adjuvant. (c) 2023 SAAB. Published by Elsevier B.V. All rights reserved.",SOUTH AFRICAN JOURNAL OF BOTANY,ELSEVIER,Verbascum thapsus; Anti -human coronavirus; Antiviral; Antibacterial; UHPLC-MS,CHEMICAL-CONSTITUENTS; ANTIOXIDANT; GLYCOSIDES; MS/MS,"[Okasha, Yasser M.; Fathy, Fify I.; Soliman, Fathy M.; Fayek, Nesrin M.] Cairo Univ, Coll Pharm, Pharmacognosy Dept, Kasr El Aini St, Cairo 11562, Egypt",Verbascum thapsus,,Scrophulariaceae,,"noise, terpenoids, noise, flavonoids, phenolics, iridoids, noise","noise, terpenoids, noise, flavonoids, phenolics, iridoids, noise",Pseudomonas aeruginosa,negative,,Verbascum thapsus,Scrophulariaceae,Verbascum,Egypt
10.1111/jfs.12947,"Guo, LL; Sun, Y; Ping, XL; Liu, J; Wang, XM; Qin, N",2022,Chemical composition and antibacterial activity of ethyl acetate extract of Astragalus membranaceus aerial parts,"There is a growing consensus that plant-derived antimicrobials may be a safe and effective alternative to synthetic chemical preservatives against foodborne pathogens. This study aims to investigate the potential application of the stems and leaves of Astragalus membranaceus (AMSL) in food preservation. Antibacterial activity of AMSL was evaluated by the disk diffusion method and the minimum inhibitory concentration (MIC) assay, and then the activity stability at different conditions (temperatures, pHs and ultraviolet irradiations) was analyzed and the antibacterial mechanism was revealed. Chemical composition of the active substances was also identified by UPLC-MS/MS. The results showed that the extracts from AMSL had low activities against Geotrichum candidum and Escherichia coli, while good action on Staphylococcus aureus, Bacillus subtilis, Aspergillus flavus, and Candida albicans. In contrast, the ethyl acetate fraction (EAF) of AMSL was the most active against Bacillus subtilis with a diameter of inhibition zone of 15.75 mm and the MIC value of 12.5 mg/mL. EAF exhibited good stability against heating at 80 degrees C for 30 min, 60 min exposure to UV light, and it was effective in pH range of 2.0-6.0. After treating by EAF, the growth of the Bacillus subtilis was inhibited with delayed logarithmic phase, and the cell wall and the cell membrane of the bacteria were damaged deduced from the increased extracellular activity of alkaline phosphatase, the leakage of nucleic acids, and the increase of extracellular conductivity. Further SEM and TEM analysis confirmed the destroying of the cell wall integrity and cell membrane permeability with visually wrinkled even empty cells caused by EAF. Subsequent analysis revealed that flavonoids were the predominant components of EAF, followed by organic acids. Our findings provided a theoretical possibility that the AMSL could be used as a natural food preservative in the food industry.",JOURNAL OF FOOD SAFETY,WILEY,,BACILLUS-SUBTILIS; ANTIMICROBIAL ACTIVITY; RADIX ASTRAGALI; HIGH-PRESSURE; FLAVONOIDS; CONSTITUENTS; IDENTIFICATION,"[Guo, Lili; Ping, Xueli; Liu, Jing; Wang, Xiaomin; Qin, Nan] Shanxi Univ Chinese Med, Coll Pharmaceut & Food Engn, Jinzhong, Peoples R China; [Sun, Yu] Jiangsu Univ, Sch Food & Biol Engn, Zhenjiang, Jiangsu, Peoples R China",Astragalus membranaceus,,Fabaceae,,"flavonoids, noise","flavonoids, noise","Bacillus subtilis, Staphylococcus aureus, Escherichia coli","positive, positive, negative","Aspergillus flavus, Geotrichum candidum, Candida albicans",Astragalus membranaceus,Fabaceae,Astragalus,China
10.15244/pjoes/76798,"Suleman, M; Nouren, S; Hassan, SM; Faiz, AH; Sahr, GA; Soomro, GA; Tahir, MA; Iqbal, M; Nazir, A",2018,Vitality and Implication of Natural Products from Viburnum Grandiflorum: an Eco-Friendly Approach,"In this study we screened Viburnum grandiflorum for bioactive secondary metabolites and biological activity. Secondary metabolites were detected by phytochemical tests, and biological activity was confirmed through antimicrobial and anti-oxidant assays. Phytochemical screening (alkaloidal, tannins, terpenoids, flavonoids, anthraquinones, and glycosides) was performed with methanol, and aqueous and ethyl acetate extracts. Antibacterial activity against four bacterial strains - staphylococcus auries, Escherichia Coli, Bacillus subtillus, and salmonella typhi - were measured. Methanolic extract showed maximum inhibitory activity with diameter of zone of inhibition (11.66 mm), followed by n-hexane extract (9.33 mm) and then ethyl acetate extract. Four different fungi (Penicillium chrysogenum, Aspergillus flavus, Rhodotorula mucilaginosa, and Stachybotrys chartarum) were also tested against plant stem extract using different solvents. Dimethyl sulfoxide extract showed a maximum zone of inhibition at 20 mg/ml. Anti-oxidant activity of stem extract of Viburnum grandiflorum was evaluated by 1, 1-diphenyl2- picryl-hydrazyl (DPPH). Then we measured absorbance, and percentage activity at each concentration was found for three solvent extracts to get Ic50 values. These data support Viburnum grandiflorum as having enough potential to be used safely as an antimicrobial drug.",POLISH JOURNAL OF ENVIRONMENTAL STUDIES,HARD,natural products; phytochemical; secondary metabolites; antimicrobial; fungi; bioactivity,PAKISTAN; PLANTS,"[Suleman, Muhammad] Women Univ Azad Jammu & Kashmir Bagh, Dept Chem, Bagh, Pakistan; [Nouren, Shazia] Govt Coll Women Univ, Dept Chem, Sialkot, Pakistan; [Hassan, Syeda Mona] Lahore Garrison Univ, Dept Chem, Lahore, Pakistan; [Faiz, Abul Hassan] Women Univ Azad Jammu & Kashmir Bagh, Dept Zool, Bagh, Pakistan; [Sahr, Ghulam Abbas; Soomro, Gul Afshan] Shah Abdul Latif Univ, Inst Chem, Khairpur 66020, Sindh, Pakistan; [Tahir, Muhammad Asif] Univ Agr Faisalabad, Dept Chem, Faisalabad, Pakistan; [Iqbal, Munawar; Nazir, Arif] Univ Lahore, Dept Chem, Lahore, Pakistan",Viburnum Grandiflorum,,Viburnaceae,,"noise, noise, tannins, anthraquinones, alkaloids, terpenoids, flavonoids","noise, noise, tannins, anthraquinones, alkaloids, terpenoids, flavonoids",Escherichia coli,negative,"Aspergillus flavus, Penicillium chrysogenum, Stachybotrys, Rhodotorula mucilaginosa",Viburnum Grandiflorum,Viburnaceae,Viburnum,Pakistan
10.1590/fst.02221,"Chavez-Santiago, JO; Rodríguez-Castillejos, GC; Montenegro, G; Bridi, R; Valdés-Gómez, H; Alvarado-Reyna, S; Castillo-Ruiz, O; Santiago-Adame, R",2022,"Phenolic content, antioxidant and antifungal activity of jackfruit extracts (Artocarpus heterophyllus Lam.)","Jackfruit (Artocarpus heterophyllus Lam.) is a fruit of tropical and subtropical zones of the world, is an important source of phytochemicals (phenolic acids, flavonoids and tannins). Several studies have associated phytochemicals with antioxidant and antimicrobial properties. The objective of this work was to analyze the polyphenolic content, the antioxidant and antifungal properties of jackfruit extracts on phytopathogenic fungi. Two phenolic extracts of jackfruit of different maturity level (J1-12) were used. The total polyphenol content (TPC) was determined by Folin-Ciocalteu method and total flavonoids (TFC) by the aluminum chloride method, the free radical trapping potential was measured using FRAP and ORAC methods. The results showed a TPC of 844 and 1,178 mgEAG/100 g and TFC of 37 and 68 mgQE/100 g, of dry jackfruit, the antioxidant potential analysis by FRAP was 7,575 and 8,691, by ORAC was 13.369 and 14.728 umol Trolox/100 g, of dry jackfruit for 11 and J2 respectively. Additionally, it was observed that the phenolic extracts of jackfruit reduced the mycelial growth of: Penicillium digitatum (20-14%), Geotrichum candidum (56-55%), Aspergillus niger (72-67%) and Botrytis cinerea (100%-100%) for J1 and J2 respectively. We conclude that regardless of the degree of maturity, jackfruit has antioxidant and antifungal properties on phytopathogens important in agriculture.",FOOD SCIENCE AND TECHNOLOGY,SOC BRASILEIRA CIENCIA TECNOLOGIA ALIMENTOS,Artocarpus heterophyllus; antifungal; antioxidant; polyphenols,BIOACTIVE COMPOUNDS; FRUITS; QUALITY,"[Omar Chavez-Santiago, Joaquin; Concepcion Rodriguez-Castillejos, Guadalupe; Castillo-Ruiz, Octelina] Univ Autonoma Tamaulipas, Unidad Acad Multidisciplinaria Reynosa Aztlan, Dept Ciencia & Tecnol Alimentos, Reynosa, Tamaulipas, Mexico; [Montenegro, Gloria; Valdes-Gomez, Hector] Pontificia Univ Catolica Chile, Fac Agron & Ingn Forestal, Santiago, Chile; [Bridi, Raquel] Pontificia Univ Catolica Chile, Fac Quim & Farm, Santiago, Chile; [Alvarado-Reyna, Sofia; Santiago-Adame, Ruben] Univ Autonoma Tamaulipas, Unidad Acad Multidisciplinaria Reynosa Aztlan, Dept Ingn Quim, Reynosa, Tamaulipas, Mexico",Artocarpus heterophyllus,,Moraceae,,"tannins, phenolics, phenolics, flavonoids, phenolics","tannins, phenolics, phenolics, flavonoids, phenolics",,,"Penicillium digitatum, Geotrichum candidum, Aspergillus niger",Artocarpus heterophyllus,Moraceae,Artocarpus,Mexico
10.15835/buasvmcn-fst:2024.0002,"Puscas, A; Muresan, AE; Muresan, V; Cerbu, C",2024,Bioactive Components and Antimicrobial Potential of Rubus caesius L. leaves and preparation of tinctures from leaves of different development stages and coloration,"A functionalized product (tincture) was developed using blackberries leaves (Rubus caesius L., Fam. Rosaceae, subfam. Rosoideae species) at different stages, since they provide biologically active compounds. Physicochemical analyzes were performed, such as the evaluation of the total poly-phenol content (TPC), the antioxidant potential, evaluation of the a chlorophyll, b chlorophyll and total chlorophyll for the raw material. The influence of solvents type on the extraction and the content of the total polyphenols and the antioxidant potential were also assessed. Moreover, the antibacterial potential against Staphylococcus aureus, Salmonella typhimurium, Salmonella enteritidis and Bacillus cereus was revealed. The green and red leaves registered a decrease in TPC during maceration, meaning the polyphenols were transferred to the tinctures. In the acetone extract of the green leaves, highest TPC of 538.59 mg GAE/100g was determined, with an antioxidant potential of 93.13 %RSA DPPH inhibited, which was not statistically different from the antioxidant values of the extracts obtained with other solvents. The red leaves exhibited the highest antimicrobial activity on the tested strains, except for Salmonella typhimurium, which exhibited resistance towards each tested extract. The current study demonstrates the potential usage of blackberry leaves from sustainable sources.",BULLETIN OF UNIVERSITY OF AGRICULTURAL SCIENCES AND VETERINARY MEDICINE CLUJ-NAPOCA-FOOD SCIENCE AND TECHNOLOGY,UNIV AGRICULTURAL SCIENCES & VETERINARY MEDICINE CLUJ-NAPOCA,Rubus caesius L .; leaves; tinctures; bioactive compounds; antioxidant potential; antimicrobial effect.,ANTIOXIDANT ACTIVITY; STRAWBERRY; BLACKBERRY; RASPBERRY; FRUITS; VARIETIES; CULTIVAR; CAPACITY; EXTRACTS; PIGMENTS,"[Puscas, Andreea; Muresan, Andruta Elena; Muresan, Vlad] Univ Agr Sci & Vet Med Cluj Napoca, Fac Food Sci & Technol, Food Engn Dept, Calea Mana St 3 5, Cluj Napoca 400372, Romania; [Cerbu, Constantin] Univ Agr Sci & Vet Med Cluj Napoca, Fac Vet Med, Dept Infect Dis, 3 5 Calea Manastur St, Cluj Napoca 400372, Romania",Rubus caesius,,Rosaceae,,"phenolics, phenolics","phenolics, phenolics","Staphylococcus aureus, Bacillus cereus","positive, positive",,Rubus caesius,Rosaceae,Rubus,Romania
10.4103/bbrj.bbrj_139_21,"Shidiki, A; Vyas, A",2022,Evaluation of antibacterial potential of Syzygium cumini against methicillin-resistant Staphylococcus aureus and macrolide-lincosamide-streptogramin B strains of Staphylococcus aureus and its liquid chromatography mass spectroscopy analysis,"Background: The resistant strains of Staphylococcus aureus as in form of methicillin-resistant S. aureus (MRSA), inducible clindamycin resistant S. aureus (iMLSB) and constitutive clindamycin-resistant S. aureus (cMLSB) are the major causes of death. An ethnobotanical survey of Syzygium cumini revealed that bioactive compounds showed effective against tested these resistant strains of S. aureus. Methods: The main goal of this study is to screening of phytochemicals by different biochemical tests, antimicrobial evaluation as per agar well-diffusion method and identification of chemical constituents of leaves of Syzygium cumini via liquid chromatography mass spectroscopy (LCMS) technique. Results: The extractive yield was higher with ethanol extract (18.10 +/- 0.10). Four phytoconstituents, alkaloids, flavonoids, terpenoids, and tannin found in four solvent extracts except hexane. The zone of inhibition was higher in aqueous extract with ranges 17-27 mm. Twenty different chemical constituents of leaves of aqueous extract of Syzygium cumini were identified through the application of LCMS data. Conclusion: The Syzygium cumini of phytoconstituents showed antibacterial activity against MRSA, iMLSB, and cMLSB. Thus, it may help for the treatment of diseases caused by MRSA, iMLSB, and cMLSB.",BIOMEDICAL AND BIOTECHNOLOGY RESEARCH JOURNAL,WOLTERS KLUWER MEDKNOW PUBLICATIONS,Constitutive clindamycin-resistant Staphylococcus aureus; inducible clindamycin resistant Staphylococcus aureus; liquid chromatography mass spectroscopy; methicillin-resistant Staphylococcus aureus; Syzygium cumini,ANTIOXIDANT; EXTRACTION; QUERCETIN; FLAVONOL; DISEASE,"[Shidiki, Amrullah] Natl Med Coll & Teaching Hosp, Dept Microbiol, Birgunj, Nepal; [Vyas, Ashish] Lovely Profess Univ, Dept Microbiol & Biochem, Phagwara, Punjab, India",Syzygium cumini,,Myrtaceae,,"alkaloids, terpenoids, tannins, flavonoids","alkaloids, terpenoids, tannins, flavonoids",Staphylococcus aureus,positive,,Syzygium cumini,Myrtaceae,Syzygium,Nepal
10.1016/j.lwt.2018.11.031,"Sharayei, P; Azarpazhooh, E; Zomorodi, S; Ramaswamy, HS",2019,Ultrasound assisted extraction of bioactive compounds from pomegranate (Punica granatum L.) peel,"Ultrasound-assisted extraction (UAE) technology was used for extracting effective components from pomegranate (Punica granatum L.variety SisheKape-Ferdos) peel (POP). A response surface method was used to investigate the effects of independent process variables (ultrasonic amplitude (power control, UA): 20, 60 and 100%, and ultrasonic exposure time (UET): 5, 10 and 15 min) on the yield (Y) and antioxidant characteristics: total phenolic compounds (TPC), 1,1-diphenyl-2-picrylhydrazyl free radical scavenging (DPPH), ferric reducing-antioxidant power (FRAP), half maximal of radical-scavenging activity (IC50) of aqueous pomegranate peel extract. According to Derringer's desired function approach, the optimal conditions based on both individual and combinations of all process variables were UA 60% and UET 6.2 min, and at this optimum condition, the predicted maximum values of Y, TPC, DPPH, FRAP, and IC50 of the pomegranate peel extract (POPx) were 13.1%, 42.2 mg GA/g, 88.8%, 1824.6 mu mol Fe(2+/)g, and 0.51 mg/mL, respectively. The experimental values were in a good agreement with the predicted values. Also, at optimal conditions, the minimum inhibitory concentration (MIC) of the extract (mean diameter of inhibition zone: 17.7 mm) showed that it had antifungal activities against Aspergillus niger.",LWT-FOOD SCIENCE AND TECHNOLOGY,ELSEVIER SCIENCE BV,Phenolic compounds; Pomegranate peel; Response surface methodology; Ultrasound; Extraction; UAE,ANTIOXIDANT ACTIVITY RELATIONSHIPS; SOLID-LIQUID EXTRACTION; PHENOLIC-COMPOUNDS; OPTIMIZATION; FOOD; MECHANISMS; FLAVONOIDS; WASTE; FRUIT,"[Sharayei, Parvin; Azarpazhooh, Elham] AREEO, Khorasan Razavi Agr & Nat Resources Res & Educ Ct, Agr Engn Res Dept, Mashhad, Iran; [Zomorodi, Shahin] AREEO, West Azerbaijan Agr & Nat Resources Res & Educ Ct, Agr Engn Res Dept, Orumiyeh, Iran; [Ramaswamy, Hosahalli S.] McGill Univ, Dept Food Sci & Agr Chem, Macdonald Campus,21111 Lakeshore Rd, Ste Anne De Bellevue, PQ H9X 3V9, Canada",Punica granatum,,Lythraceae,,phenolics,phenolics,,,Aspergillus niger,Punica granatum,Lythraceae,Punica,Iran
10.3390/horticulturae10101091,"Bernal-Gallardo, JO; Mena-Violante, HG; Luna-Suárez, S",2024,Study of the Phenolic Compounds and Biological Activities of the Wild Fruits of Vaccinium leucanthum Schltdl.,"Around 450 species of blueberries of the genus Vaccinium are known, of which some have gained preferential breeding, such as the 'Biloxi' variety. Some little studied species, such as Vaccinium leucanthum Schltdl. located in Mexico, could be a potential source of bioactive compounds. In this study, the phenolic compounds (chlorogenic acid content, hyperoside, phenols, flavonoids, tannins and total anthocyanins content) as well as the potential biological activity (antioxidant, antimicrobial, xanthine oxidase converting enzyme inhibition and angiotensin I inhibition) of Vaccinium leucanthum Schltdl. were studied, making a comparison with the Biloxi variety, which is the most widely cultivated one. The extract of V. leucanthum showed the highest content of flavonoids (4.853 +/- 0.341 mg QE/g DW), total anthocyanins (0.303 +/- 0.008 mg CGE/g DW), petunidin-3-glucoside (6.92 +/- 0.12 mg PGE/g DW), malvidin-3-glucoside (11.80 +/- 0.10 mg MGE/g DW) and hyperoside (5.137 +/- 0.100 mg HE/g DW). It should be noted that V. leucanthum showed the same total tannin content and the same efficacy in the inhibition of Angiotensin I-converting enzyme as 'Biloxi', as well as the same antibacterial effect against the enterobacteria Salmonella choleraesuis ATCC 12022, Escherichia coli ATCC 12792and Shigella flexneri ATCC 10708. These findings demonstrate that V. leucanthum extracts could be an important source of preservatives as well as nutraceutical compounds for use in foods and medicines.",HORTICULTURAE,MDPI,phenols; flavonoids; anthocyanins; bioactive and nutraceutical compounds; Vaccinium,VITIS-IDAEA L.; CHLOROGENIC ACID; CORYMBOSUM L.; MYRTILLUS L.; ANTIOXIDANT CAPACITY; ANTIMICROBIAL ACTIVITY; HIGHBUSH BLUEBERRY; ANTHOCYANINS; EXTRACTS; PARAMETERS,"[Bernal-Gallardo, Jose Osvaldo; Luna-Suarez, Silvia] Inst Politecn Nacl, Ctr Invest Biotecnol Aplicada, Tepetitla 90700, Mexico; [Mena-Violante, Hortencia Gabriela] Inst Politecn Nacl, Dept Res, CIIDIR IPN Unidad Michoacan, Jiquilpan 59510, Mexico",Vaccinium leucanthum,,Ericaceae,,"tannins, flavonoids, tannins, flavonoids, phenolics, phenolics","tannins, flavonoids, tannins, flavonoids, phenolics, phenolics","Shigella flexneri, Escherichia coli","negative, negative",,Vaccinium leucanthum,Ericaceae,Vaccinium,Mexico
10.3390/molecules26123623,"Mokhtar, M; Bouamar, S; Di Lorenzo, A; Temporini, C; Daglia, M; Riazi, A",2021,"The Influence of Ripeness on the Phenolic Content, Antioxidant and Antimicrobial Activities of Pumpkins (Cucurbita moschata Duchesne)","Cucurbita moschata Duchesne (Cucurbitaceae) is a plant food highly appreciated for the content of nutrients and bioactive compounds, including polyphenols and carotenoids, which contribute to its antioxidant and antimicrobial capacities. The purpose of this study was to identify phenolic acids and flavonoids of Cucurbita moschata Duchesne using high-performance liquid chromatography-diode array detection-electrospray ionization tandem mass spectrometry (HPLC-DAD-ESI-MS) at different ripening stages (young, mature, ripened) and determine its antioxidant and antimicrobial activities. According to the results, phenolic acids and flavonoids were dependent on the maturity stage. The mature fruits contain the highest total phenolic and flavonoids contents (97.4 mg GAE. 100 g(-1) and 28.6 mg QE. 100 g(-1)).A total of 33 compounds were identified. Syringic acid was the most abundant compound (37%), followed by cinnamic acid (12%) and protocatechuic acid (11%). Polyphenol extract of the mature fruits showed the highest antioxidant activity when measured by DPPH (0.065 mu mol TE/g) and ABTS (0.074 mu mol TE/g) assays. In the antimicrobial assay, the second stage of ripening had the highest antibacterial activity. Staphylococcus aureus was the most sensitive strain with an inhibition zone of 12 mm and a MIC of 0.75 mg L-1. The lowest inhibition zone was obtained with Salmonella typhimurium (5 mm), and the MIC value was 10 mg L-1.",MOLECULES,MDPI,Cucurbita moschata; polyphenols; ripening; antioxidant; antimicrobial,CAPSICUM-ANNUUM L.; DIFFERENT VARIETIES; GENE-EXPRESSION; CINNAMIC ACID; OLIVE OIL; POLYPHENOLS; FRUIT; MATURITY; CAPACITY; CAROTENOIDS,"[Mokhtar, Meriem; Bouamar, Sarah; Riazi, Ali] Univ Abdelhamid Ibn Badis, Lab Beneficial Microorganisms Funct Food & Hlth L, Mostaganem 27000, Algeria; [Di Lorenzo, Arianna] Univ Pavia, Dept Drug Sci Med Chem & Pharmaceut Technol, Via Taramelli 12, I-27100 Pavia, Italy; [Temporini, Caterina] Univ Pavia, Dept Drug Sci, Via Taramelli 12, I-27100 Pavia, Italy; [Temporini, Caterina] Univ Pavia, Italian Biocatalysis Ctr, Via Taramelli 12, I-27100 Pavia, Italy; [Daglia, Maria] Univ Naples Federico II, Dept Pharm, I-80131 Naples, Italy; [Daglia, Maria] Jiangsu Univ, Int Res Ctr Food Nutr & Safety, Zhenjiang 212013, Jiangsu, Peoples R China",Cucurbita moschata,,Cucurbitaceae,,"phenolics, phenolics, flavonoids, carotenoid, phenolics","phenolics, phenolics, flavonoids, carotenoid, phenolics",Staphylococcus aureus,positive,,Cucurbita moschata,Cucurbitaceae,Cucurbita,Algeria
